time,p_EE_x,p_EE_y,p_EE_z,p_d_x,p_d_y,p_d_z,p_end_x,p_end_y,p_end_z,e_p_x,e_p_y,e_p_z,pdot_x,pdot_y,pdot_z,f_x,f_y,f_z,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7
0.019000,0.307066,0.000002,0.487267,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,-0.000234,0.000049,-0.000277,0.027105,-0.005012,0.041289,-0.565462,0.105123,-0.853443,0.031346,-3.708813,-0.671983,21.376190,0.787827,2.058431,0.000041
0.020000,0.307102,-0.000004,0.487327,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,-0.000269,0.000055,-0.000337,0.030167,-0.005190,0.047004,-0.630224,0.109259,-0.973770,0.032535,-3.683325,-0.670523,21.310692,0.788688,2.034314,0.000044
0.021000,0.307138,-0.000007,0.487391,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,-0.000305,0.000058,-0.000401,0.031943,-0.004562,0.052620,-0.669402,0.097023,-1.092524,0.028795,-3.654683,-0.674314,21.249131,0.786124,2.015679,0.000048
0.025000,0.307304,-0.000030,0.487726,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,-0.000471,0.000080,-0.000736,0.039762,-0.005542,0.081109,-0.842357,0.118888,-1.695779,0.035284,-3.508164,-0.666803,20.939756,0.790643,1.925919,0.000073
0.026000,0.307349,-0.000037,0.487829,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,-0.000516,0.000088,-0.000839,0.041656,-0.005330,0.089104,-0.884727,0.115408,-1.865932,0.034457,-3.466333,-0.667420,20.852864,0.789921,1.901796,0.000077
0.027000,0.307395,-0.000045,0.487934,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,-0.000562,0.000095,-0.000944,0.043391,-0.005818,0.095231,-0.924060,0.125878,-1.998991,0.037387,-3.434971,-0.664257,20.783826,0.792048,1.881654,0.000082
0.028000,0.307442,-0.000048,0.488048,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,-0.000609,0.000098,-0.001058,0.044062,-0.005100,0.100506,-0.942184,0.111834,-2.115954,0.033076,-3.404959,-0.668683,20.724883,0.789081,1.867408,0.000086
0.029000,0.307492,-0.000054,0.488169,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,-0.000659,0.000104,-0.001178,0.046105,-0.007252,0.107865,-0.988003,0.155461,-2.275141,0.046373,-3.367949,-0.654702,20.642538,0.798161,1.843437,0.000085
0.030000,0.307545,-0.000057,0.488292,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,-0.000712,0.000108,-0.001302,0.049464,-0.006366,0.113595,-1.060452,0.138094,-2.402081,0.041037,-3.343208,-0.660234,20.571617,0.794483,1.816885,0.000092
0.031000,0.307598,-0.000061,0.488426,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,-0.000766,0.000112,-0.001436,0.050680,-0.006046,0.121191,-1.090153,0.132128,-2.567464,0.038964,-3.302606,-0.662359,20.488201,0.793170,1.795647,0.000099
0.032000,0.307654,-0.000065,0.488563,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,-0.000821,0.000116,-0.001573,0.052471,-0.005815,0.126130,-1.131547,0.127848,-2.679908,0.037515,-3.277726,-0.663803,20.427817,0.792220,1.776865,0.000103
0.033000,0.307716,-0.000070,0.488708,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,-0.000883,0.000120,-0.001718,0.054684,-0.004886,0.130352,-1.181974,0.109753,-2.778852,0.032625,-3.258015,-0.668573,20.372641,0.788490,1.757473,0.000105
0.034000,0.307780,-0.000074,0.488855,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,-0.000947,0.000125,-0.001865,0.058127,-0.004993,0.134911,-1.257281,0.112323,-2.884735,0.032925,-3.240321,-0.668155,20.310981,0.788924,1.732224,0.000114
0.035000,0.307847,-0.000078,0.489010,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,-0.001014,0.000129,-0.002020,0.060554,-0.003975,0.141673,-1.312479,0.092383,-3.035442,0.027246,-3.208441,-0.673741,20.231079,0.784779,1.706955,0.000124
0.036000,0.307922,-0.000081,0.489168,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,-0.001089,0.000131,-0.002178,0.065272,-0.002877,0.145373,-1.414325,0.070650,-3.125208,0.021027,-3.198371,-0.679761,20.172899,0.780249,1.677688,0.000132
0.037000,0.307997,-0.000082,0.489330,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,-0.001164,0.000132,-0.002340,0.069481,-0.002492,0.153030,-1.505993,0.063053,-3.294575,0.018663,-3.166845,-0.682094,20.078961,0.778597,1.643007,0.000146
0.038000,0.308076,-0.000083,0.489500,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,-0.001243,0.000133,-0.002510,0.072293,-0.001733,0.157720,-1.570168,0.047993,-3.405426,0.014641,-3.147469,-0.685921,20.016316,0.775492,1.619566,0.000154
