time,p_EE_x,p_EE_y,p_EE_z,p_d_x,p_d_y,p_d_z,p_end_x,p_end_y,p_end_z,e_p_x,e_p_y,e_p_z,e_R_x,e_R_y,e_R_z,pdot_x,pdot_y,pdot_z,pdot_d_x,pdot_d_y,pdot_d_z,omega_x,omega_y,omega_z,f_x,f_y,f_z,m_x,m_y,m_z,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7
0.014000,0.306736,-0.000033,0.486792,0.306732,0.000017,0.486821,0.306732,0.000017,0.486821,-0.000004,0.000051,0.000029,-0.000100,-0.000082,0.000118,-0.001083,-0.003225,-0.003270,0.000000,0.000000,0.000000,0.006352,0.008519,-0.005258,0.010428,0.037303,0.035552,-0.022533,-0.030061,0.018756,0.030246,-0.039422,0.041413,0.048120,-0.014665,0.035358,-0.018768
0.015000,0.306733,-0.000034,0.486786,0.306732,0.000017,0.486821,0.306732,0.000017,0.486821,-0.000002,0.000051,0.000035,-0.000103,-0.000097,0.000123,-0.001213,-0.002663,-0.003859,0.000000,0.000000,0.000000,0.004789,0.010011,-0.005079,0.011960,0.031745,0.042100,-0.017070,-0.035329,0.018144,0.027929,-0.046462,0.035307,0.056687,-0.010369,0.041526,-0.018161
0.016000,0.306734,-0.000037,0.486778,0.306732,0.000017,0.486821,0.306732,0.000017,0.486821,-0.000002,0.000055,0.000043,-0.000106,-0.000118,0.000134,-0.000994,-0.003232,-0.005529,0.000000,0.000000,0.000000,0.005181,0.014119,-0.008125,0.009759,0.037799,0.059578,-0.018449,-0.049768,0.028839,0.040490,-0.066688,0.045818,0.079088,-0.010468,0.057021,-0.028863
0.017000,0.306732,-0.000038,0.486773,0.306732,0.000017,0.486821,0.306732,0.000017,0.486821,-0.000001,0.000056,0.000048,-0.000105,-0.000131,0.000135,-0.000843,-0.002864,-0.004640,0.000000,0.000000,0.000000,0.004719,0.011003,-0.006570,0.008359,0.034231,0.051225,-0.016832,-0.038904,0.023402,0.033950,-0.053429,0.039664,0.064107,-0.009606,0.045137,-0.023420
0.018000,0.306733,-0.000041,0.486764,0.306732,0.000017,0.486821,0.306732,0.000017,0.486821,-0.000001,0.000059,0.000056,-0.000108,-0.000152,0.000138,-0.000277,-0.003165,-0.004919,0.000000,0.000000,0.000000,0.005044,0.011844,-0.006077,0.002682,0.037530,0.054825,-0.017979,-0.041909,0.021684,0.033233,-0.058444,0.040307,0.068081,-0.010060,0.047260,-0.021703
0.019000,0.306733,-0.000040,0.486760,0.306732,0.000017,0.486821,0.306732,0.000017,0.486821,-0.000001,0.000058,0.000061,-0.000117,-0.000163,0.000135,0.000095,-0.001526,-0.003861,0.000000,0.000000,0.000000,0.004071,0.009484,-0.001793,-0.001050,0.021046,0.044696,-0.014600,-0.033682,0.006681,0.013163,-0.047599,0.021952,0.054603,-0.010154,0.037377,-0.006697
0.020000,0.306732,-0.000041,0.486752,0.306732,0.000017,0.486821,0.306732,0.000017,0.486821,-0.000000,0.000059,0.000069,-0.000119,-0.000182,0.000142,-0.000341,-0.001757,-0.005257,0.000000,0.000000,0.000000,0.003976,0.012231,-0.004152,0.003383,0.023463,0.059479,-0.014274,-0.043355,0.014958,0.022196,-0.061177,0.028376,0.071819,-0.009313,0.049271,-0.014979
0.021000,0.306730,-0.000041,0.486745,0.306732,0.000017,0.486821,0.306732,0.000017,0.486821,0.000001,0.000059,0.000076,-0.000125,-0.000200,0.000142,-0.000300,-0.000903,-0.004565,0.000000,0.000000,0.000000,0.003722,0.010978,-0.002402,0.003131,0.014915,0.053205,-0.013402,-0.039022,0.008835,0.013435,-0.054931,0.020625,0.064509,-0.010243,0.044344,-0.008854
0.022000,0.306728,-0.000041,0.486740,0.306732,0.000017,0.486821,0.306732,0.000017,0.486821,0.000003,0.000058,0.000081,-0.000129,-0.000215,0.000137,-0.000841,-0.000111,-0.004392,0.000000,0.000000,0.000000,0.001863,0.010585,0.001148,0.008735,0.006919,0.052039,-0.006910,-0.037691,-0.003608,-0.001468,-0.052371,0.004621,0.063363,-0.005433,0.044099,0.003587
0.023000,0.306728,-0.000041,0.486732,0.306732,0.000017,0.486821,0.306732,0.000017,0.486821,0.000004,0.000058,0.000089,-0.000132,-0.000235,0.000136,-0.001189,0.000128,-0.006913,0.000000,0.000000,0.000000,0.001179,0.016723,0.000880,0.012271,0.004535,0.077976,-0.004521,-0.059235,-0.002674,-0.001262,-0.081429,0.002823,0.097597,-0.003536,0.068653,0.002640
0.024000,0.306726,-0.000041,0.486728,0.306732,0.000017,0.486821,0.306732,0.000017,0.486821,0.000005,0.000058,0.000093,-0.000140,-0.000246,0.000141,-0.001307,0.000276,-0.005981,0.000000,0.000000,0.000000,0.001014,0.014663,-0.000420,0.013597,0.003065,0.069088,-0.003966,-0.052058,0.001893,0.002844,-0.071281,0.005159,0.086402,-0.003296,0.060978,-0.001924
0.025000,0.306722,-0.000038,0.486722,0.306732,0.000017,0.486821,0.306732,0.000017,0.486821,0.000009,0.000056,0.000099,-0.000144,-0.000259,0.000134,-0.002863,0.001008,-0.006602,0.000000,0.000000,0.000000,0.001351,0.018464,0.002204,0.029572,-0.004490,0.075939,-0.005160,-0.065404,-0.007314,-0.008683,-0.084287,-0.002971,0.105045,-0.006072,0.078295,0.007275
0.026000,0.306721,-0.000038,0.486717,0.306732,0.000017,0.486821,0.306732,0.000017,0.486821,0.000011,0.000055,0.000104,-0.000145,-0.000273,0.000129,-0.002393,0.001094,-0.006133,0.000000,0.000000,0.000000,0.000628,0.016931,0.003643,0.025020,-0.005416,0.071745,-0.002634,-0.060078,-0.012364,-0.014028,-0.078362,-0.008645,0.097154,-0.003744,0.071645,0.012327
0.027000,0.306718,-0.000036,0.486712,0.306732,0.000017,0.486821,0.306732,0.000017,0.486821,0.000014,0.000054,0.000109,-0.000143,-0.000279,0.000128,-0.002518,0.001034,-0.005426,0.000000,0.000000,0.000000,0.000130,0.013352,0.002293,0.026561,-0.004964,0.065131,-0.000882,-0.047570,-0.007640,-0.009169,-0.063546,-0.006407,0.081713,-0.001903,0.058881,0.007611
0.028000,0.306716,-0.000035,0.486705,0.306732,0.000017,0.486821,0.306732,0.000017,0.486821,0.000016,0.000053,0.000116,-0.000147,-0.000297,0.000130,-0.002044,0.000885,-0.005483,0.000000,0.000000,0.000000,0.000008,0.013004,0.001099,0.022012,-0.003556,0.066397,-0.000470,-0.046406,-0.003455,-0.004551,-0.063479,-0.003280,0.080562,-0.001196,0.056867,0.003426
0.029000,0.306713,-0.000034,0.486699,0.306732,0.000017,0.486821,0.306732,0.000017,0.486821,0.000019,0.000051,0.000121,-0.000146,-0.000308,0.000126,-0.002547,0.001066,-0.006533,0.000000,0.000000,0.000000,-0.000565,0.014090,0.002275,0.027342,-0.005514,0.077481,0.001540,-0.050237,-0.007587,-0.009287,-0.069918,-0.008266,0.090303,0.000404,0.062792,0.007555
0.030000,0.306711,-0.000033,0.486695,0.306732,0.000017,0.486821,0.306732,0.000017,0.486821,0.000021,0.000051,0.000125,-0.000146,-0.000315,0.000117,-0.002581,0.000940,-0.007037,0.000000,0.000000,0.000000,-0.000771,0.014979,0.004318,0.027879,-0.004333,0.082908,0.002263,-0.053371,-0.014760,-0.016091,-0.074655,-0.013454,0.096069,0.001380,0.066517,0.014725
