run_id,study,gain,n,provenance_status,excursion_mean_rad,excursion_sd_rad,sigma_gain_mean,sigma_gain_sd,task_error_peak_mean_mm,task_error_peak_sd_mm,task_error_peak_max_mm,force_peak_mean_N,disturbance_tau_peak_mean_Nm,torque_scale_min,nullspace_speed_peak_mean_rad_s
MAIN_F0_baseline,damping,0,3,provisional-dirty-tree,0.0277513596,0.00290912361,-0.000141002,2.43429872e-05,0.845087353,0.00739136137,0.852503371,20,1.76253649,1,0.0314657213
MAIN_F1_damping_1p0,damping,1,3,provisional-dirty-tree,0.0213953019,0.00164031391,-9.20026667e-05,1.07182718e-05,0.832727238,0.0338904642,0.871565505,20,1.75939928,1,0.028519965
MAIN_F1_damping_2p0,damping,2,3,provisional-dirty-tree,0.0196852977,0.000322899958,-8.13286667e-05,3.65284496e-06,0.779320418,0.0327171675,0.81674123,20,1.75806531,1,0.027390452
MAIN_F1_damping_4p0,damping,4,3,provisional-dirty-tree,0.0183670841,0.000692919348,-7.26756667e-05,2.20685757e-06,0.726450872,0.021438626,0.7463674,20,1.75647999,1,0.0258408473
MAIN_F2_ksigma_1p0,sigma,1,3,provisional-dirty-tree,0.00300282066,0.000147001616,8.95566667e-06,5.7219137e-06,0.57252757,0.0182221965,0.58670753,20,1.74868172,1,0.0326589277
MAIN_F2_ksigma_2p0,sigma,2,3,provisional-dirty-tree,0.0311868157,0.00138450637,1.9323e-05,7.27956729e-07,0.910029167,0.0357991121,0.951328066,20,1.74784409,1,0.154135304
MAIN_F2_ksigma_4p0,sigma,4,1,provisional-dirty-tree,0.520508598,,5.871e-06,,1.36164737,,1.36164737,20,1.7520674,1,0.423246848
