time,p_EE_x,p_EE_y,p_EE_z,p_d_x,p_d_y,p_d_z,e_p_x,e_p_y,e_p_z,e_R_x,e_R_y,e_R_z,pdot_x,pdot_y,pdot_z,omega_x,omega_y,omega_z,f_x,f_y,f_z,m_x,m_y,m_z,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7
0.017000,0.306799,-0.000026,0.486720,0.306803,0.000002,0.486776,0.000004,0.000028,0.000056,-0.000097,-0.000144,0.000055,-0.000713,-0.002052,-0.002387,0.005781,0.007655,-0.002631,0.014776,0.043821,0.053368,-0.023462,-0.015598,0.005456,0.018919,-0.029735,0.034751,0.042654,-0.014234,0.023391,-0.005460
0.018000,0.306799,-0.000030,0.486715,0.306803,0.000002,0.486776,0.000005,0.000032,0.000061,-0.000107,-0.000154,0.000064,-0.000310,-0.003013,-0.002349,0.007488,0.006703,-0.005867,0.006755,0.063457,0.053092,-0.030327,-0.013714,0.011958,0.031451,-0.029008,0.050604,0.039579,-0.016971,0.019785,-0.011960
0.019000,0.306798,-0.000032,0.486713,0.306803,0.000002,0.486776,0.000005,0.000034,0.000063,-0.000115,-0.000155,0.000071,-0.000410,-0.003271,-0.002581,0.006741,0.005359,-0.007015,0.008789,0.068848,0.057947,-0.027365,-0.011028,0.014279,0.035432,-0.027516,0.051915,0.039451,-0.012874,0.017952,-0.014280
0.020000,0.306799,-0.000035,0.486709,0.306803,0.000002,0.486776,0.000004,0.000037,0.000067,-0.000120,-0.000159,0.000077,0.000110,-0.002519,-0.002182,0.005289,0.003972,-0.005749,-0.001725,0.054129,0.050353,-0.021575,-0.008261,0.011769,0.028393,-0.024006,0.041235,0.031764,-0.010183,0.012310,-0.011770
0.021000,0.306798,-0.000039,0.486704,0.306803,0.000002,0.486776,0.000005,0.000041,0.000072,-0.000128,-0.000168,0.000085,-0.000302,-0.002903,-0.003007,0.005171,0.005708,-0.006444,0.006619,0.062108,0.067339,-0.021132,-0.011752,0.013185,0.032269,-0.031454,0.044537,0.044341,-0.008057,0.019047,-0.013188
0.022000,0.306797,-0.000042,0.486705,0.306803,0.000002,0.486776,0.000006,0.000044,0.000071,-0.000134,-0.000163,0.000096,-0.000691,-0.003326,-0.001934,0.005502,0.002646,-0.008162,0.014545,0.070937,0.045802,-0.022476,-0.005618,0.016660,0.038457,-0.017473,0.050825,0.029041,-0.007546,0.012684,-0.016659
0.023000,0.306796,-0.000048,0.486702,0.306803,0.000002,0.486776,0.000007,0.000050,0.000074,-0.000136,-0.000164,0.000100,-0.001041,-0.004130,-0.002717,0.006023,0.003948,-0.008442,0.021653,0.087586,0.061777,-0.024568,-0.008225,0.017234,0.044159,-0.023929,0.058164,0.040088,-0.006131,0.018185,-0.017235
0.024000,0.306795,-0.000051,0.486699,0.306803,0.000002,0.486776,0.000008,0.000053,0.000078,-0.000141,-0.000171,0.000106,-0.001293,-0.004341,-0.003174,0.005362,0.005736,-0.008348,0.026844,0.092146,0.071247,-0.021943,-0.011813,0.017067,0.045394,-0.029646,0.057680,0.048817,-0.002543,0.023696,-0.017069
0.025000,0.306793,-0.000052,0.486695,0.306803,0.000002,0.486776,0.000011,0.000055,0.000081,-0.000145,-0.000176,0.000110,-0.001223,-0.003633,-0.002391,0.005189,0.003981,-0.007651,0.025731,0.078106,0.055933,-0.021262,-0.008315,0.015686,0.039693,-0.021579,0.051631,0.037955,-0.004820,0.018624,-0.015687
0.026000,0.306792,-0.000055,0.486693,0.306803,0.000002,0.486776,0.000012,0.000057,0.000083,-0.000149,-0.000180,0.000112,-0.001256,-0.002718,-0.002726,0.003741,0.004854,-0.001306,0.026513,0.060051,0.062856,-0.015484,-0.010067,0.003005,0.021462,-0.025319,0.032686,0.043100,-0.002837,0.021162,-0.003008
0.027000,0.306791,-0.000057,0.486691,0.306803,0.000002,0.486776,0.000013,0.000059,0.000085,-0.000150,-0.000181,0.000121,-0.000891,-0.003014,-0.001226,0.003933,0.001371,-0.004652,0.019351,0.066167,0.033015,-0.016258,-0.003105,0.009726,0.030048,-0.010299,0.039959,0.021134,-0.002332,0.010064,-0.009725
0.028000,0.306787,-0.000060,0.486685,0.306803,0.000002,0.486776,0.000016,0.000062,0.000091,-0.000154,-0.000195,0.000129,-0.001501,-0.002656,-0.003055,0.002947,0.006063,-0.004708,0.031931,0.059348,0.070229,-0.012326,-0.012515,0.009867,0.028105,-0.029205,0.035072,0.049727,0.000173,0.025394,-0.009871
